Date,Last Price,Change,%Change,Open,Low,High,Volume,Net Foreign,Weekend.Holiday
6/3/2009,2471.19,-19.23,-0.0077,2493.6,2462.48,2495.89,1.27M,234.44M,0
6/4/2009,2494.24,23.05,0.0093,2469.16,2459.3,2494.24,1.23M,302.04M,0
6/5/2009,2528.68,34.44,0.0138,2508.96,2508.96,2539.2,1.21M,344.25M,0
6/6/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/7/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/8/2009,2517.73,-10.95,-0.0043,2534.62,2509.45,2538.83,1.02M,167.42M,0
6/9/2009,2488.26,-29.47,-0.0117,2518.41,2485.74,2520.74,1.13M,375.55M,0
6/10/2009,2530.72,42.46,0.0171,2494.71,2494.71,2533.49,1.05M,-83.55M,0
6/11/2009,2598.8,68.08,0.0269,2530.44,2530.44,2598.8,1.41M,268.86M,0
6/12/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/13/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/14/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/15/2009,2612.85,14.05,0.0054,2605.05,2573.95,2626.21,1.47M,-88.7M,0
6/16/2009,2514.17,-98.68,-0.0378,2593.16,2511.18,2593.16,1.58M,-118.93M,0
6/17/2009,2441.75,-72.42,-0.0288,2500.91,2414.51,2502.79,1.57M,-307.6M,0
6/18/2009,2434.26,-7.49,-0.0031,2439.56,2427.38,2468.67,983.68K,-355.39M,0
6/19/2009,2398.3,-35.96,-0.0148,2442.77,2393.46,2454.52,1.26M,-46.79M,0
6/20/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/21/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/22/2009,2411.88,13.58,0.0057,2399.01,2386.47,2414.17,673.9K,-125.9M,0
6/23/2009,2370.06,-41.82,-0.0173,2383.53,2352.75,2385.51,942.55K,-101.03M,0
6/24/2009,2415.83,45.77,0.0193,2370.06,2366.18,2416.64,916.3K,-519.27M,0
6/25/2009,2467.56,51.73,0.0214,2442.7,2442.7,2485.71,1.23M,72.42M,0
6/26/2009,2477.44,9.88,0.004,2487.42,2475.71,2508.77,1.2M,317.09M,0
6/27/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/28/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/29/2009,2468.05,-9.39,-0.0038,2472.11,2463.24,2481.2,918.3K,267.59M,0
6/30/2009,2437.99,-30.06,-0.0122,2476.62,2436.19,2482.11,979.9K,47.48M,0
7/1/2009,2432.89,329.39,0.1566,2436.8,2425.72,2437.23,661.08K,103.31M,0
7/2/2009,2438.04,5.15,0.0021,2441.47,2436.81,2452.89,799.23K,-14.83M,0
7/3/2009,2431.34,-6.7,-0.0027,2422.94,2412.68,2433.05,631.44K,-4.3M,0
7/4/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
7/5/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
7/6/2009,2449.1,17.76,0.0073,2435.04,2428.34,2452,1.03M,-568.54M,0
7/7/2009,2471.76,22.66,0.0093,2452.02,2449.49,2478.48,661.91K,-169.23M,0
7/8/2009,2461.99,-9.77,-0.004,2462.78,2447.68,2466.39,1.4M,50.41M,0
7/9/2009,2473.85,11.86,0.0048,2463.42,2463.42,2474.95,889.48K,-376.47M,0
7/10/2009,2487.22,13.37,0.0054,2479.78,2478.38,2489.32,894.03K,288.11M,0
7/11/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
7/12/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
7/13/2009,2483.39,-3.83,-0.0015,2491.1,2480.89,2500.36,796.22K,-237.17M,0
7/14/2009,2492.3,8.91,0.0036,2503.82,2483.6,2513.79,9.08M,-64.22M,0
7/15/2009,2515.95,23.65,0.0095,2502.92,2499.65,2521.9,1.54M,-542.88M,0
7/16/2009,2553.96,38.01,0.0151,2546.13,2546.13,2560.1,1.45M,262.15M,0
7/17/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
7/18/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
7/19/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
7/20/2009,2587.91,33.95,0.0133,2562.54,2562.54,2593.75,1.37M,13.38M,0
7/21/2009,2593.51,5.6,0.0022,2597.96,2580.45,2609.44,1.42M,415.01M,0
7/22/2009,2612.38,18.87,0.0073,2602.73,2594.14,2614.53,1.08M,162.37M,0
7/23/2009,2612,-0.38,-0.0001,2611.84,2591.42,2616.34,1.27M,-81.53M,0
7/24/2009,2676.47,64.47,0.0247,2635.07,2635.07,2676.98,1.66M,361.11M,0
7/25/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
7/26/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
7/27/2009,2732.62,56.15,0.021,2686.61,2686.61,2733.74,1.44M,549.31M,0
7/28/2009,2768.76,36.14,0.0132,2746.32,2735.39,2775.66,1.52M,736.24M,0
7/29/2009,2803.39,34.63,0.0125,2777.7,2777.7,2820.05,2.77M,2.14B,0
7/30/2009,2764.98,-38.41,-0.0137,2756.3,2711.51,2778.56,2.17M,-1.65B,0
7/31/2009,2798.33,33.35,0.0121,2790.17,2790.17,2842.21,1.76M,738.26M,0
8/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/2/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/3/2009,2835.11,731.61,0.3478,2796.7,2792.38,2844.65,1.4M,303.01M,0
8/4/2009,2886.96,51.85,0.0183,2870.86,2870.86,2894.51,1.45M,436.62M,0
8/5/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/6/2009,2841.21,-45.75,-0.0158,2883,2826.74,2887.71,1.28M,-104.11M,0
8/7/2009,2782.98,-58.23,-0.0205,2823.64,2780.01,2824.99,1M,88.93M,0
8/8/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/9/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/10/2009,2850.58,67.6,0.0243,2788.56,2788.56,2851.62,3.62M,-163.46M,0
8/11/2009,2860.54,9.96,0.0035,2861.62,2856.39,2873.53,1.9M,-322.99M,0
8/12/2009,2828.52,-32.02,-0.0112,2843.02,2817.95,2843.02,995.5K,-316.2M,0
8/13/2009,2856.06,27.54,0.0097,2854.69,2850.27,2873.44,1.09M,-215.75M,0
8/14/2009,2850.01,-6.05,-0.0021,2859.7,2847.27,2871.56,966.29K,-132.21M,0
8/15/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/16/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/17/2009,2771.18,-78.83,-0.0277,2836.36,2760.61,2836.36,1.15M,-144.93M,0
8/18/2009,2731.55,-39.63,-0.0143,2719.86,2693.13,2734.52,1.17M,-430.43M,0
8/19/2009,2760.89,29.34,0.0107,2747.01,2747.01,2774.91,1.08M,-363.44M,0
8/20/2009,2720.18,-40.71,-0.0147,2779.28,2713.52,2780.85,1.55M,332.25M,0
8/21/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/22/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/23/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/24/2009,2859.18,139,0.0511,2720.18,2720.18,2867.42,1.52M,664.22M,0
8/25/2009,2858.15,-1.03,-0.0004,2857.14,2852.59,2869.12,1.18M,519.83M,0
8/26/2009,2863.53,5.38,0.0019,2873.29,2859.51,2881.83,1.19M,-441.55M,0
8/27/2009,2881.4,17.87,0.0062,2859.73,2857.61,2885.68,1.33M,102.75B,0
8/28/2009,2884.18,2.78,0.001,2895.43,2868.57,2906.56,1.44M,-33.08M,0
8/29/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/30/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
8/31/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/1/2009,2852.93,-31.25,-0.0108,2856.87,2833.09,2858.08,1.15M,-49.48M,0
9/2/2009,2808.21,-44.72,-0.0157,2807.19,2795.54,2813.82,915.14K,-424.22M,0
9/3/2009,2803.31,-4.9,-0.0017,2804.65,2774.06,2808.08,991.65K,-529.9M,0
9/4/2009,2830.99,27.68,0.0099,2808.12,2805.51,2839.19,1.14M,-24.59M,0
9/5/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/6/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/7/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/8/2009,2852.48,21.49,0.0076,2848.85,2842.45,2858.33,917.46K,-326.27M,0
9/9/2009,2829.41,-23.07,-0.0081,2853.62,2815.24,2859.85,957.63K,-231.34M,0
9/10/2009,2835.91,6.5,0.0023,2828.68,2824.33,2839.64,1.11M,-357.88M,0
9/11/2009,2870.83,34.92,0.0123,2841.24,2840.61,2875.06,1.22M,-544.74M,0
9/12/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/13/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/14/2009,2821.73,-49.1,-0.0171,2852.94,2814.99,2852.94,1.02M,-260.21M,0
9/15/2009,2789.36,-32.37,-0.0115,2821.73,2780.73,2821.73,1.42M,-280.74M,0
9/16/2009,2768.61,-20.75,-0.0074,2798.02,2758.31,2803.37,1M,-419.58M,0
